cine,pelicula,fecha,hora,formato,idioma,duracion_min,clasificacion,poster,link_compra,sinopsis,trailer,generos,credito
Cineplanet Mall Barrio Independencia,Coyote vs ACME,2026-09-01,21:20,2D,subtitulada,103,TE,,https://www.cineplanet.cl/peliculas/coyote-vs-acme,"Después de que todos los productos fabricados por ACME Corporation le salgan mal a Wile E. Coyote, en su persecución del Correcaminos, contrata a un abogado humano igualmente desafortunado para demandar a la empresa. Cuando el abogado de Wile E. descubre que el intimidante jefe de su antiguo bufete es el director general de ACME, se une a Wile E. para ganar el juicio contra él.",https://www.youtube.com/embed/V_ueAlyvn6A,FAMILIAR,
Cineplanet Mall Barrio Independencia,Papi Ricky: La película,2026-09-01,21:40,2D,doblada,104,TE +7,,https://www.cineplanet.cl/peliculas/papi-ricky-la-pelcula,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hípster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://www.youtube.com/embed/Nr17OlZAkBc,COMEDIA,
Cineplanet Mall Barrio Independencia,La noche del demonio: Están entre nosotros,2026-09-01,22:10,2D,doblada,106,+14,,https://www.cineplanet.cl/peliculas/la-noche-del-demonio-estn-entre-nosotros,"Gemma, una joven madre que cría a su hija en la casa en la que creció, descubre que puede viajar a The Further, donde posee la capacidad de traer lo que allí vive de vuelta al mundo real.",https://www.youtube.com/embed/fuxeEUqCNac,TERROR,
Cineplanet Mall Barrio Independencia,El Final de la Calle Oak,2026-09-02,13:00,2D,doblada,99,+14,,https://www.cineplanet.cl/peliculas/el-final-de-la-calle-oak,"Después de que un misterioso fenómeno cósmico arranque Oak Street de su entorno suburbano y transporte a sus habitantes a un lugar desconocido, la familia Platt pronto descubre que su propia supervivencia depende de que permanezcan unidos mientras se orientan en un entorno que ya no reconocen.",https://www.youtube.com/embed/kdrry0xfHzA,CIENCIA FICCION,
Cineplanet Mall Barrio Independencia,PAW Patrol: La Dino Película,2026-09-02,13:05,2D,doblada,88,TE,,https://www.cineplanet.cl/peliculas/paw-patrol-la-dino-pelcula,"Después de que su barco quedara atrapado en una misteriosa tormenta, los cachorros de la Patrulla Canina aterrizan de emergencia en una isla tropical inexplorada llena de dinosaurios. Allí conocen a Rex, un cachorro que lleva años abandonado en la isla y se ha convertido en un experto en todo lo relacionado con los dinosaurios. Cuando el archienemigo de la Patrulla Canina, el alcalde Humdinger, comienza a explotar minas de forma imprudente con la esperanza de saquear los recursos naturales de la isla, provoca sin querer la erupción de un enorme volcán inactivo.",,ANIMACION,
Cineplanet Mall Barrio Independencia,Coyote vs ACME,2026-09-02,13:10,2D,doblada,103,TE,,https://www.cineplanet.cl/peliculas/coyote-vs-acme,"Después de que todos los productos fabricados por ACME Corporation le salgan mal a Wile E. Coyote, en su persecución del Correcaminos, contrata a un abogado humano igualmente desafortunado para demandar a la empresa. Cuando el abogado de Wile E. descubre que el intimidante jefe de su antiguo bufete es el director general de ACME, se une a Wile E. para ganar el juicio contra él.",https://www.youtube.com/embed/V_ueAlyvn6A,FAMILIAR,
Cineplanet Mall Barrio Independencia,Juan Gabriel: Mi Primer Bellas Artes,2026-09-02,13:40,2D,doblada,110,TE +7,,https://www.cineplanet.cl/peliculas/juan-gabriel-mi-primer-bellas-artes,"Versión Sing Along. El concierto más icónico de México llega a la pantalla grande. A partir del 28 de agosto, con motivo del 10º aniversario luctuoso de Juan Gabriel, disfruta del histórico primer concierto de Juan Gabriel en el Palacio de Bellas Artes en 1990, una noche que transformó para siempre la música en México.",https://www.youtube.com/embed/zq9V3eaio2Y,CONCIERTO,
Cineplanet Mall Barrio Independencia,Papi Ricky: La película,2026-09-02,13:50,2D,doblada,104,TE +7,,https://www.cineplanet.cl/peliculas/papi-ricky-la-pelcula,"La película retoma la historia de Alicia, quien vuelve a Chile para presentar a su futuro esposo, un joven español hípster y excéntrico que representa la modernidad. Sin embargo, su llegada provoca un verdadero terremoto familiar: el choque con el conservador Papi Ricky y la irreverente Catrala hará que ambos padres dejen atrás antiguas diferencias para unirse en un objetivo común: impedir la boda de su hija.",https://www.youtube.com/embed/Nr17OlZAkBc,COMEDIA,
Cineplanet Mall Barrio Independencia,Harry Potter y la piedra filosofal (2001),2026-09-02,14:00,2D,doblada,166,TE +7,,https://www.cineplanet.cl/peliculas/harry-potter-y-la-piedra-filosofal-2001,"El día en que cumple once años, Harry Potter se entera de que es hijo de dos destacados hechiceros, de los que ha heredado poderes mágicos. En la escuela Hogwarts de Magia y Hechicería, donde se educa con otros niños que también tienen poderes especiales, aprenderá todo lo necesario para ser mago.",,AVENTURA,
Cineplanet Mall Barrio Independencia,Coyote vs ACME,2026-09-02,14:20,2D,doblada,103,TE,,https://www.cineplanet.cl/peliculas/coyote-vs-acme,"Después de que todos los productos fabricados por ACME Corporation le salgan mal a Wile E. Coyote, en su persecución del Correcaminos, contrata a un abogado humano igualmente desafortunado para demandar a la empresa. Cuando el abogado de Wile E. descubre que el intimidante jefe de su antiguo bufete es el director general de ACME, se une a Wile E. para ganar el juicio contra él.",https://www.youtube.com/embed/V_ueAlyvn6A,FAMILIAR,
