banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Entel,Ópticas Place Vendôme,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/place-vendome-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,"Desde 10% de dcto. en anteojos ópticos, de contacto y de sol",,,,Tiendas,https://www.entel.cl/beneficios/descuentos/opticas-place-vendome
Entel,Econópticas,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/econopticas-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,"Desde 10% de dcto. en anteojos ópticos, de contacto y de sol",,,,Tiendas,https://www.entel.cl/beneficios/descuentos/econopticas
Entel,GMO,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/gmo-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,"Desde 10% de dcto. en anteojos ópticos, de contacto y de sol",,,,Tiendas,https://www.entel.cl/beneficios/descuentos/gmo
Entel,El Colorado,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/el-colorado-1.png,lunes;martes;miercoles;jueves;viernes;domingo,30% dcto. los martes con el Club Entel,,,,Entretención,https://www.entel.cl/beneficios/descuentos/el-colorado
Entel,Parque Aventura,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/parque-aventura.png,lunes;martes;miercoles;jueves;viernes;domingo,20% dcto. en entradas a Parque Aventura,,2026-12-31,,Entretención,https://www.entel.cl/beneficios/descuentos/parque-aventura
Entel,Aventura Kids,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/parque-aventura-kids.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,20% Dcto. En aventura Kids,,2026-12-31,,Entretención,https://www.entel.cl/beneficios/descuentos/aventura-kids
Entel,Buin Zoo,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/buin-zoo-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,20% dcto. en Buin Zoo de Martes a Domingo,,2025-04-30,,Entretención,https://www.entel.cl/beneficios/descuentos/buin-zoo
Entel,Nevados de Chillán,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/nevados-1.png,lunes;martes;miercoles;jueves;viernes;domingo,25% dcto. online los miércoles de agosto y septiembre,,,,Entretención,https://www.entel.cl/beneficios/descuentos/nevados-de-chillan
Entel,Evento Motor Clásica,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/club-entel.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,40% dcto. entrada 4 octubre y 20% dcto. entradas 3 y 4 octubre,,2026-10-04,,Entretención,https://www.entel.cl/beneficios/descuentos/motor-clasica
Entel,Karün,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/karun-3.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,25% dcto. en anteojos de sol,,2026-12-31,,Sostenibilidad,https://www.entel.cl/beneficios/descuentos/karun
Entel,Tur.com,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/tur-com.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,15% dcto. en todos los tours y actividades en www.tur.com,30000,2026-12-31,,Sostenibilidad,https://www.entel.cl/beneficios/descuentos/chiletur-copec
Entel,Ecocitex,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/ecocitex.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,25% en el total de la compra,,2026-12-31,,Sostenibilidad,https://www.entel.cl/beneficios/descuentos/ecocitex
Entel,Freemet,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/freemet.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Descuentos exclusivos en compras online,,2026-03-31,,Sostenibilidad,https://www.entel.cl/beneficios/descuentos/free-met
Entel,Klean Kanteen,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/klean-kanteen.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Hasta 30% dcto.,,,,Tiendas;Sostenibilidad,https://www.entel.cl/beneficios/descuentos/klean-kanteen
Entel,Wild Foods,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/wild-food.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Dctos. online en productos seleccionados,,2026-12-31,,Sostenibilidad,https://www.entel.cl/beneficios/descuentos/wildfoods
Entel,Euro Rent a Car,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/euro-rent-a-car.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,15% dcto en arriendo de cualquier vehículo,,2026-12-31,,Viajes,https://www.entel.cl/beneficios/descuentos/euro-rent
Entel,Assist Card,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/assist-card.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,20% dcto. adicional sobre la tarifa vigente,,2026-10-31,,Tiendas;Viajes,https://www.entel.cl/beneficios/descuentos/assist-card
Entel,Cabify,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/cabify.png,lunes;martes;miercoles,4 viajes por mes por usuario con 15% dcto. tope $2.000,2000,2025-12-31,,Viajes,https://www.entel.cl/beneficios/descuentos/cabify
Entel,Turbus,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/turbus-2.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,20% dcto. en compras online www.turbus.cl,3000,2026-12-31,,Viajes,https://www.entel.cl/beneficios/descuentos/turbus
Entel,Cóndor Bus,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/condor-1.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,20% dcto. en compras online www.condorbus.cl,4000,2026-12-31,,Viajes,https://www.entel.cl/beneficios/descuentos/condor-bus
Entel,Castaño,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/castano.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,Berlín a $100 al comprar un café mediano,,2026-12-31,,Comida,https://www.entel.cl/beneficios/descuentos/castano
Entel,Just Burger,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/just-burger.png,lunes;martes;jueves;domingo,"25% dcto. lunes, martes, jueves y domingo",,2025-12-31,,Comida,https://www.entel.cl/beneficios/descuentos/justburger
Entel,Entrelagos,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/entrelagos.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,15% de dcto. en compras realizadas de manera online,,2026-12-31,,Comida,https://www.entel.cl/beneficios/descuentos/entrelagos
Entel,Hola Ola,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/hola-ola.png,lunes;martes;miercoles;jueves,20% dcto. en cafetería,,2026-12-31,,Comida,https://www.entel.cl/beneficios/descuentos/hola-ola
Entel,Juan Maestro,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/juan-maestro-1.png,jueves,30% Descuento en todo el menú solo los jueves,,2026-06-30,,Comida,https://www.entel.cl/beneficios/descuentos/juanmaestro
Entel,Franchute,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/franchute.png,lunes;martes,35% de descuento en la barra los días lunes y martes,,2026-12-31,,Comida,https://www.entel.cl/beneficios/descuentos/franchute
Entel,Rappi,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/rappi.png,lunes;martes;miercoles;jueves;viernes;domingo;sabado,80% dcto en envíos por 3 meses,,2026-12-31,,Comida,https://www.entel.cl/beneficios/descuentos/rappi
Entel,Local Burger,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/local-burger.png,lunes;martes;domingo,25% de dcto. de Domingo a Martes.,50000,2026-12-31,,Comida,https://www.entel.cl/beneficios/descuentos/local-burguer
Entel,Green Lab,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/green-lab-8.png,lunes;martes;miercoles;domingo;sabado,15% dcto de sábado a miércoles,,,,Comida,https://www.entel.cl/beneficios/descuentos/green-lab
Entel,Doggis,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/doggis-1.png,miercoles,30% dcto en todo el menú solo los miércoles,,2026-06-30,,Comida,https://www.entel.cl/beneficios/descuentos/doggis
Entel,Tommy Beans,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/tommy-beans-1.png,martes,30% descuento en todo el menú solo los martes,,2026-06-30,,Comida,https://www.entel.cl/beneficios/descuentos/tommybeans
Entel,Biancolatte,,,,,https://entel.cdn.modyo.com/libraries/recursos/src/icon-lit/marcas/biancolatte-2.png,jueves,20% descuento en tienda,,2026-04-30,,Comida,https://www.entel.cl/beneficios/descuentos/biancolatte
