banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Banco Falabella,Cabrera al Paso,Mallplaza Egaña,,,,https://images.ctfassets.net/p6eyia4djstu/1oUAUQdU3K0cymqytrXcIX/074d1333779a70f274fc5451288f3f89/Logos_Cards_Sitio_Beneficios_Cabrera_al_paso.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://lacabreraalpaso.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/la-cabrera-al-paso
Banco Falabella,Tanta,Isidora 3000,,,,https://images.ctfassets.net/p6eyia4djstu/0ZjkWEfrWDc3DObu4zqdg/bf202be7cfed79161a199a183efdd91a/tanta__1_.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://tanta.cl/cartaqrrd/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-tanta
Banco Falabella,Tanta,Mallplaza Egaña,,,,https://images.ctfassets.net/p6eyia4djstu/0ZjkWEfrWDc3DObu4zqdg/bf202be7cfed79161a199a183efdd91a/tanta__1_.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://tanta.cl/cartaqrrd/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-tanta
Banco Falabella,Tanta,Mallplaza Norte,,,,https://images.ctfassets.net/p6eyia4djstu/0ZjkWEfrWDc3DObu4zqdg/bf202be7cfed79161a199a183efdd91a/tanta__1_.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://tanta.cl/cartaqrrd/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-tanta
Banco Falabella,Tanta,Mall Florida Center,,,,https://images.ctfassets.net/p6eyia4djstu/0ZjkWEfrWDc3DObu4zqdg/bf202be7cfed79161a199a183efdd91a/tanta__1_.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://tanta.cl/cartaqrrd/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-tanta
Banco Falabella,Tanta,Mallplaza Tobalaba,,,,https://images.ctfassets.net/p6eyia4djstu/0ZjkWEfrWDc3DObu4zqdg/bf202be7cfed79161a199a183efdd91a/tanta__1_.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://tanta.cl/cartaqrrd/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-tanta
Banco Falabella,Berlín Doner Kebab,,,,,https://images.ctfassets.net/p6eyia4djstu/4HXxCAZhnCcRU6UMhXwrXm/38d67536dd49cabd3ff6a73369ae7954/Logos_logo_Berlin_doner.webp,lunes;martes;jueves,Hasta 40%,,2026-09-30,https://www.bdk.cl/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/berlin-doner-kebab
Banco Falabella,Kairos garden,Mall Plaza Vespucio,,,,https://images.ctfassets.net/p6eyia4djstu/11mZqgayhclSRnNuyuo1Xd/f62316150897c9b8ac7d0c4522f8f96a/Logos_Cards_Sitio_Beneficios_Kairos_Garden.png,lunes;martes,Hasta 40%,,2026-09-30,https://kairos-brewing.com/pages/kairos-garden-1,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/kairos-garden
Banco Falabella,La piazza,Mall Plaza Vespucio,,,,https://images.ctfassets.net/p6eyia4djstu/fNSjXWxmGr9yo7WlpcerT/94da020b90a9a9bb6a7909343e74a67d/Logos_Cards_Sitio_Beneficios_La_Piazza.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://lapiazza.cl/cartaqr/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/sog-la-piazza
Banco Falabella,La piazza,Open Kennedy,,,,https://images.ctfassets.net/p6eyia4djstu/fNSjXWxmGr9yo7WlpcerT/94da020b90a9a9bb6a7909343e74a67d/Logos_Cards_Sitio_Beneficios_La_Piazza.png,lunes;martes;miercoles;jueves;viernes;sabado;domingo,Hasta 40%,,2026-09-30,https://lapiazza.cl/cartaqr/,restaurantes,https://www.bancofalabella.cl/descuentos/detalle/sog-la-piazza
