banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Santander,Bozzo,,Lo Barnechea,,,https://banco.santander.cl/uploads/000/052/372/c6ecb291-fe6a-4d8b-affa-5721f6944cad/original/logo_bozzo.jpg,martes,40% dcto. en bozzochocolates.cl y 20% dcto. en tiendas,40000,2026-09-30,https://bozzochocolates.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/bozzo-4
Santander,Bozzo,,Providencia,,,https://banco.santander.cl/uploads/000/052/372/c6ecb291-fe6a-4d8b-affa-5721f6944cad/original/logo_bozzo.jpg,martes,40% dcto. en bozzochocolates.cl y 20% dcto. en tiendas,40000,2026-09-30,https://bozzochocolates.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/bozzo-4
Santander,Bozzo,,Santiago,,,https://banco.santander.cl/uploads/000/052/372/c6ecb291-fe6a-4d8b-affa-5721f6944cad/original/logo_bozzo.jpg,martes,40% dcto. en bozzochocolates.cl y 20% dcto. en tiendas,40000,2026-09-30,https://bozzochocolates.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/bozzo-4
Santander,Bozzo,,Peñalolén,,,https://banco.santander.cl/uploads/000/052/372/c6ecb291-fe6a-4d8b-affa-5721f6944cad/original/logo_bozzo.jpg,martes,40% dcto. en bozzochocolates.cl y 20% dcto. en tiendas,40000,2026-09-30,https://bozzochocolates.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/bozzo-4
Santander,Bozzo,,La Florida,,,https://banco.santander.cl/uploads/000/052/372/c6ecb291-fe6a-4d8b-affa-5721f6944cad/original/logo_bozzo.jpg,martes,40% dcto. en bozzochocolates.cl y 20% dcto. en tiendas,40000,2026-09-30,https://bozzochocolates.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/bozzo-4
Santander,El Taller,Av. Providencia 1467,Providencia,,,https://banco.santander.cl/uploads/000/050/912/1bd0b0df-0077-4572-ad7f-07279fae0c0f/original/Logo_ElTaller.png,martes,40% dcto.,15000,2026-09-30,https://www.eltallerchile.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/el-taller
Santander,El Taller,Av. La Dehesa 1570,Lo Barnechea,,,https://banco.santander.cl/uploads/000/050/912/1bd0b0df-0077-4572-ad7f-07279fae0c0f/original/Logo_ElTaller.png,martes,40% dcto.,15000,2026-09-30,https://www.eltallerchile.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/el-taller
Santander,El Taller,Av. Apoquindo 2730,Las Condes,,,https://banco.santander.cl/uploads/000/050/912/1bd0b0df-0077-4572-ad7f-07279fae0c0f/original/Logo_ElTaller.png,martes,40% dcto.,15000,2026-09-30,https://www.eltallerchile.cl/,restaurantes,https://banco.santander.cl/beneficios/promociones/el-taller
Santander,Ciros,Isidora Goyenechea 2971,Las Condes,,,https://banco.santander.cl/uploads/000/050/903/03b3a442-1783-4c64-8618-a720d7d65fac/original/Logo_Ciros.png,sabado,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/ciros
Santander,Ari Nikkei,,Las Condes,,,https://banco.santander.cl/uploads/000/049/270/e415d00c-1fd9-4cb7-b284-179823d03c0a/original/Logo_AriNikkei-6.png,viernes,30%. dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/ari-nikkei
Santander,Sociedad 0306,Av. Sta. Isabel 0306,Providencia,,,https://banco.santander.cl/uploads/000/048/395/a5ab4619-0906-4a7c-95f6-e268a82d7a90/original/Logo_Sociedad0306_1_.png,martes,40% dcto.,40000,2026-09-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/sociedad-0306
Santander,Infiltrados,Av. Vitacura 5708,Vitacura,,,https://banco.santander.cl/uploads/000/048/393/24968733-d396-44d1-9d97-4326689a543f/original/Dise_o_sin_t_tulo-21.png,viernes;sabado,Hasta 50%. dcto.,50000,2026-11-30,,restaurantes,https://banco.santander.cl/beneficios/promociones/infiltrados
Santander,Do Sushi,"Suecia 0155, local 102",Providencia,,,https://banco.santander.cl/uploads/000/048/383/f1e6b2c4-652c-4d3f-a1a0-665c879e7775/original/Logo_Do_Sushi.png,domingo,50% dcto.,50000,2026-11-30,https://www.dosushi.cl,restaurantes,https://banco.santander.cl/beneficios/promociones/do-sushi-6
Santander,ICA,Isidora Goyenechea 2939,Las Condes,,,https://banco.santander.cl/uploads/000/047/484/367c874e-eb06-47c1-9118-2dbee8f18f50/original/Logo_Ica_500x800_V1.jpg,sabado,40% dcto.,40000,2026-05-31,https://www.icarestaurant.cl,restaurantes,https://banco.santander.cl/beneficios/promociones/ica-2
