banco,comercio,direccion,comuna,lat,lon,logo,dias,monto,tope,vigencia,sitio_web,categoria,url
Bci,Vértigo,,Vitacura,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/V%C3%A9rtigo_21ffc02e_17-20_4.png,jueves,20% descuento,,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/20-por-ciento-de-descuento-los-jueves-en-vitacura-pvya5w
Bci,Ari Nikkei,,Las Condes,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Ari-Nikkei_fb7112ad_16-2_4.png,martes,40% descuento,40000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/los-martes-en-paseo-los-dominicos-y-vivo-los-trapenses-x0o2gts
Bci,Ari Nikkei,,Lo Barnechea,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Ari-Nikkei_fb7112ad_16-2_4.png,martes,40% descuento,40000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/los-martes-en-paseo-los-dominicos-y-vivo-los-trapenses-x0o2gts
Bci,Marriott,,Las Condes,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Marriott_5eda47e0_17-53_4.png,sabado,50% descuento,100000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/cafe-med-sabado-las-condes-desde-las-13.00-hasta-las-16.00-hrs-2b61eqo
Bci,Casa de Origen,,Ñuñoa,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Casa-de-Origen_b09309f1_18-5_4.png,martes,30% descuento,30000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/todos-los-martes-en-nunoa-9bjyljt
Bci,Costamai,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Costa-Mai_5ede39eb_15-52_4.png,miercoles,40% descuento,40000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/los-pescados-y-mariscos-de-la-mejor-calidad-sr3dtd
Bci,Cuerovaca,,Vitacura,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Cuerovaca_cbc40f96_15-57_4.png,viernes,40% descuento,40000,2026-09-30,,restaurantes;preferencial;descuentos;black-signature-infinite;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/viernes-vitacura-vcbh2s
Bci,Danés,,Las Condes,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Dan%C3%A9s_2e372df0_16-14_4.png,lunes,40% descuento,40000,2026-09-30,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/variedad-de-sabores-en-las-condes-jpj9xzn
Bci,De Barrio,,,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/De-Barrio_47c41fec_16-36_4.png,lunes;martes;miercoles;jueves,40% descuento,40000,2026-09-30,,restaurantes;descuentos;presencial,https://www.bci.cl/beneficios/beneficios-bci/detalle/en-barrio-italia-90b5ws9
Bci,Expendio,,Providencia,,,https://www.bciplus.cl/storages/loyalty/campaigns-images/Expendio_d25462ae_16-32_4.png,martes;miercoles;jueves;viernes;sabado,25% descuento,50000,2026-09-30,,restaurantes;descuentos,https://www.bci.cl/beneficios/beneficios-bci/detalle/de-martes-a-sabado-en-providencia-3o4lh9
